2022,33349,43428,-10079,16132,15581,551,96895
2021,33818,48939,-15121,15751,16715,-964,57082
2020,25803,45339,-19536,12092,15943,-3851,43938
2019,31204,43473,-12269,14936,15912,-976,75869
2018,29227,41540,-12313,14255,14859,-604,65134
2017,28246,37468,-9222,15367,12828,2539,58855
2016,27703,34756,-7053,14210,12203,2007,49496
2015,33069,36971,-3902,16019,12850,3169,46164
2014,34036,36165,-2129,15722,12444,3278,40365
2013,33949,37065,-3116,14800,13095,1705,34593
2012,34180,39150,-4970,15257,14735,522,37564
2011,36347,39713,-3366,16613,14870,1743,46366
2010,37185,43176,-5991,16562,14510,2052,49178
2009,36485,43798,-7313,16681,14875,1806,44611
2008,33487,46574,-13087,16336,15437,899,59493
2007,33715,48988,-15273,15734,17803,-2069,61373
2006,32215,53313,-21098,14406,15915,-1509,58645
2005,31409,54087,-22678,13915,15583,-1668,51809
2004,25649,53202,-27553,12838,14094,-1256,48864
2003,24044,53811,-29767,11943,13316,-1373,702
2002,21797,46174,-24377,10890,11841,-951,756
2001,15566,33857,-18291,7415,7618,-203,969
2000,15500,35614,-20114,6436,8504,-2068,1636
1999,15265,36282,-21017,6260,8526,-2266,2578
1998,14150,36429,-22279,5521,8077,-2556,3560
