2023;39390;49050;-9660.0
2022;41215;51241;-10026.0
2021;42213;50332;-8119.0
2020;42531;59652;-17121.0
2019;45040;46836;-1796.0
2018;46687;48413;-1726.0
2017;49040;48414;626.0
2016;50736;46277;4459.0
2015;51359;47051;4308.0
2014;52371;44685;7686.0
2013;52287;44407;7880.0
2012;56639;45939;10700.0
2011;59132;43311;15821.0
2010;61017;42910;18107.0
2009;61525;43422;18103.0
2008;64570;43335;21235.0
2007;61610;43469;18141.0
2006;60717;41804;18913.0
2005;59464;44705;14759.0
2004;57880;41758;16122.0
2003;55146;44286;10860.0
2002;52034;42092;9942.0
2001;49261;41420;7841.0
2000;48304;40975;7329.0
1999;45455;42918;2537.0
1998;42931;41172;1759.0
1997;43154;40534;2620.0
1996;41411;39669;1742.0
1995;40878;39696;1182.0
1994;41225;38544;2681.0
1993;42166;39175;2991.0
1992;43283;38493;4790.0
1991;42693;38866;3827.0
1990;42864;38672;4192.0
1989;43452;37480;5972.0
1988;44009;36272;7737.0
1987;44488;35002;9486.0
1986;46587;34596;11991.0
1985;49557;34745;14812.0
1984;49605;34553;15052.0
1983;50808;35105;15703.0
1982;55720;33681;22039.0
1981;57875;34498;23377.0
1980;63266;34111;29155.0
1979;70928;32306;38622.0
1978;78956;32536;46420.0
1977;84162;32387;51775.0
1976;86188;33108;53080.0
1975;89934;33223;56711.0
