2023;1921;2057;-136.0
2022;1967;2203;-236.0
2021;2046;2063;-17.0
2020;2054;2147;-93.0
2019;2180;1859;321.0
2018;2327;1905;422.0
2017;2322;1794;528.0
2016;2430;1877;553.0
2015;2567;1878;689.0
2014;2645;1683;962.0
2013;2578;1750;828.0
2012;2753;1694;1059.0
2011;2781;1663;1118.0
2010;3145;1571;1574.0
2009;3122;1643;1479.0
2008;3368;1544;1824.0
2007;3007;1472;1535.0
2006;2840;1507;1333.0
2005;2803;1630;1173.0
2004;2543;1454;1089.0
2003;2317;1497;820.0
2002;2166;1505;661.0
2001;2003;1280;723.0
2000;1955;1256;699.0
1999;1747;1376;371.0
1998;1734;1297;437.0
1997;1633;1248;385.0
1996;1651;1291;360.0
1995;1676;1203;473.0
1994;1665;1233;432.0
1993;1672;1187;485.0
1992;1726;1137;589.0
1991;1564;1112;452.0
1990;1667;1194;473.0
1989;1637;1074;563.0
1988;1771;1050;721.0
1987;1740;950;790.0
1986;1793;1033;760.0
1985;1925;1095;830.0
1984;2058;1028;1030.0
1983;2071;1033;1038.0
1982;2284;965;1319.0
1981;2375;1042;1333.0
1980;2515;971;1544.0
1979;2668;981;1687.0
1978;2959;1039;1920.0
1977;2993;1024;1969.0
1976;2988;1005;1983.0
1975;2836;992;1844.0
